strain,replicate,conc,a,m1,m2,m3,p,q,r,xc1,yc1,xc2,yc2,xc3,yc3
T,2,0.0,54.103168306642,0.0128131856140206,0.0045574943591997,-0.0042854293856173,0.9241734321294064,-0.7817870518602262,0.505769599339578,2.5,0.0195,3.5,0.026,4.5,0.0345
T,2,0.24,34.95742238005891,0.0026524364952812,-0.005999508439202,0.0675522728651046,0.322994579067182,0.636172188995621,0.2109863802964022,6.5,0.0535,3.5,0.0305,4.5,0.0405
T,2,0.49,0.0234998821812314,-0.2235948563504288,0.2535132999004547,0.2363287499059809,16.39056771820151,-11.223128330151294,27.4710435565554,2.5,0.025500000000000002,4.5,0.041999999999999996,3.5,0.033
T,2,0.98,0.9321044925683089,8.429613128803402,0.0587513415857074,0.0523353600967028,-0.0026266012395063,-0.1731992638170334,0.2961804195692384,25.5,0.0895,4.5,0.0335,3.5,0.0245
T,2,1.95,139.23514888666418,0.0045870043986958,-0.0028013474610082,-0.0030493983197983,75.0805083935215,-334.33096915981736,415.40674976923646,2.5,0.0215,4.5,0.039,3.5,0.029
T,2,3.91,0.0054838004789866,-0.0386274771331991,31.078389672622382,0.158936636238182,0.2414552950502028,0.0003528857931888,0.0772587342799417,5.5,0.0435,4.5,0.036500000000000005,3.5,0.027
T,2,7.81,0.0387890533170957,-0.0052250900334366,6.812190654832673,0.0851228084469922,0.6531850308976512,0.001571656934868,0.0664858283089787,5.5,0.056999999999999995,4.5,0.049,3.5,0.039999999999999994
T,2,15.63,145253.66620936166,-0.0001783513076077,-0.0001772854135886,0.0006891055531209,58.394020690760144,-45.76608430473162,16.12213835238776,5.5,0.0235,7.5,0.039999999999999994,6.5,0.0315
T,2,31.25,508386506.1527654,5.701435631655362e-06,-2.4908221051244067e-06,-2.5263153787009023e-06,2324.7275373502944,-18880.97780560047,20825.21708225047,14.5,0.03,16.5,0.0445,15.5,0.037000000000000005
T,2,62.5,31.1717452758298,0.0011732456132141,0.0024572860633963,0.0016329042554263,0.6028578623169988,-0.787163430736434,1.1185663821586809,26.5,0.028,28.5,0.0325,29.5,0.035500000000000004
T,2,125.0,32.83975791941634,-0.0367026479269826,0.0006312029312012,-0.0023977476869846,-0.0280851520316184,0.3397404422841065,0.1437943455390548,5.5,0.0155,10.5,0.0185,29.5,0.0205
T,2,250.0,0.0010003100713283,-0.2530901223270845,-0.0009001707377869,0.4204797774210669,0.1080200115144602,-22.492153100077484,0.0196537608485053,24.5,0.038,2.5,0.0165,29.5,0.044
T,1,0.0,17.44537719143158,0.0001226947129208,-0.0315688084840214,0.0252146741006698,1.1531791029567957,-0.2740213551496813,-0.1012090452748331,6.5,0.0395,5.5,0.0335,4.5,0.025
T,1,0.24,20.65382767905937,-0.0815928901802569,-0.0156478863394032,0.0369184489592526,0.0339912598009542,0.6807737745112884,0.5761107064191713,7.5,0.053000000000000005,4.5,0.0305,5.5,0.04
T,1,0.49,0.0439383281952082,0.1263545026123076,-1.040909490414025,-0.1646562245502427,0.2217027003871594,-0.0109093334824329,0.1894578802443097,3.5,0.02,5.5,0.036500000000000005,4.5,0.028
T,1,0.98,0.2391137659120178,-0.210693519451483,0.2210036074031995,0.2103846568964136,0.4543183599697333,-0.465830308020128,0.955216673576132,5.5,0.034,3.5,0.017,4.5,0.025500000000000002
T,1,1.95,0.0056352778739211,-0.4798155045829969,0.4560146930946483,0.465935200480443,2.743466109248393,-3.2703239113841787,6.017321032634147,5.5,0.035500000000000004,3.5,0.018000000000000002,4.5,0.027000000000000003
T,1,3.91,15.45958382191692,0.0010023514677493,0.2016679922813299,-0.0036390716456704,1.2413782494673926,0.0479618829238624,0.0519672261605146,3.5,0.018500000000000003,4.5,0.026000000000000002,5.5,0.0345
T,1,7.81,0.4191497203421997,-0.0638627074443895,-0.0559965970821579,0.2707050908651741,0.5495555691394634,-0.5923516759299641,0.0326590097707544,5.5,0.033,4.5,0.0245,6.5,0.038000000000000006
T,1,15.63,0.0010000314433774,-0.3961717271892226,-0.0262634558207658,6.100635007330821,0.0418539314829496,-0.5466522463910575,0.0015752624970005,7.5,0.0275,4.5,0.014499999999999999,8.5,0.035
T,1,31.25,1.9797304596074587,-0.0232682538543955,0.2779831317156013,0.031260823450792,0.9430463600006734,0.0519806108249535,0.7825035746663644,14.5,0.047,15.5,0.06,16.5,0.07600000000000001
T,1,62.5,0.1941043325038151,-0.0701576010777458,0.0897820972033958,0.0575495842339598,0.0879304549753462,0.0599706392680926,0.0415545156740501,23.5,0.0155,29.5,0.0185,1.5,0.009999999999999998
T,1,125.0,114.67666016793191,-0.0039620015907779,0.000192772026324,0.0006864401205916,0.3698344392051099,-4.729821792218483,3.4482517023056536,19.5,0.0155,2.5,0.009999999999999998,8.5,0.0135
T,1,250.0,0.0028394452917376,-0.0062324099522957,-0.0288702957279585,-0.0014465759608273,-26.39802955475317,4.891626759134116,15.681176361297466,6.5,0.015,2.5,0.012,25.5,0.031
D,2,0.0,86.44135216628031,0.0046352015003682,-0.0678301539116275,-0.0107299776962263,1.0564599516673552,-0.1956387893510806,0.4935528980081639,1.5,0.0185,5.5,0.0435,4.5,0.031
D,2,0.24,11.089358840361053,-0.0386087278054276,-0.0626793982517731,-0.0001267156804382,0.300213443631287,-0.3216115268721893,1.1124374155821022,4.5,0.028999999999999998,5.5,0.036500000000000005,6.5,0.0455
D,2,0.49,9.821355086426133,0.0011773369054369,37.65569099991069,0.1482186234246337,0.8879371383149002,0.0035872534390964,0.0325629113756845,6.5,0.038000000000000006,4.5,0.0245,7.5,0.044
D,2,0.98,0.0426474812493832,-0.2275251330070283,0.2108885439788994,0.1876494499742168,1.89305445335128,3.4156881531352767,-1.544192752573727,7.5,0.0475,6.5,0.040499999999999994,4.5,0.026500000000000003
D,2,1.95,138.21156234814427,8.803579607701645e-05,-0.0245470502185591,25.2775481847913,1.2479713513477175,-0.2434171480395169,0.0096651852808131,6.5,0.040499999999999994,7.5,0.0475,4.5,0.026000000000000002
D,2,3.91,0.0010099286773243,5.812102142051772,0.0561805524646786,-0.0547621767599486,0.0016387194460382,93.22809717433582,95.66389797337727,6.5,0.040499999999999994,5.5,0.0325,4.5,0.0235
D,2,7.81,0.0565888166429878,0.0051239905391889,0.0048032642258901,0.3265181743674921,5097.494780695401,-5440.37879193901,0.0669659201426726,9.5,0.065,6.5,0.0465,4.5,0.034
D,2,15.63,0.0719464657198548,0.0935213068653886,0.0972979476833854,-0.0875371347642905,39.257733112808864,-23.05433477227067,16.38813165256756,6.5,0.0325,7.5,0.041499999999999995,4.5,0.0205
D,2,31.25,677.0405805932004,0.0066763166530849,-0.0012569115005562,-0.0018666660838342,3.1154289749332467,-7.342442326345701,9.28812111942798,11.5,0.0535,12.5,0.065,10.5,0.041999999999999996
D,2,62.5,18.37261741462964,-0.029938237976287,-0.1090174734752088,0.0412880356936418,0.4943530558655404,-0.0621205340118824,0.4822541700106259,24.5,0.0635,26.5,0.0755,23.5,0.055999999999999994
D,2,125.0,1253.5462525800924,-9.744937446595532e-05,-0.0001279868068229,-0.0022919152420375,352.1771794348891,-266.1545332747772,-0.7111899628521253,11.5,0.0185,18.5,0.0235,7.5,0.013999999999999999
D,2,250.0,73.45203777247627,-0.0016357160488703,-0.0003209526589828,0.0003319901764333,0.2438391528436847,-1.481564042180262,2.6477009848572046,4.5,0.02,25.5,0.04,23.5,0.038
D,1,0.0,0.0022714294457905,0.201177607978784,0.0302141717169547,4.499353478434856,-0.0536510435940225,0.3562033489120822,0.0017467414276538,7.5,0.052500000000000005,4.5,0.0315,5.5,0.040499999999999994
D,1,0.24,35.73456800240033,0.0320091371279944,-0.090349348853579,-0.0232665667812081,0.5125275814343205,-0.1259484316368791,0.649472692811365,6.5,0.051000000000000004,4.5,0.0345,5.5,0.043
D,1,0.49,88567263631.83961,-7.089333189021478e-07,-1.8918287867231466e-07,1.9716588001626563e-06,8722.348641730845,-11056.177138881889,7977.081065265648,3.5,0.0385,7.5,0.065,4.5,0.048
D,1,0.98,24.2073137549442,0.0150238630354025,-0.0812678541201175,-0.012600223644634,0.6901856419525305,-0.1225502451911119,0.7859707872722494,7.5,0.0455,3.5,0.018000000000000002,4.5,0.027500000000000004
D,1,1.95,20.49934213875209,0.015376725246479,-0.0957259214173806,-0.0134627686410373,0.7051964962988427,-0.1095653222869427,0.7555641494461385,7.5,0.0475,3.5,0.018000000000000002,4.5,0.028999999999999998
D,1,3.91,35.26393852556886,-0.0664926027990826,0.038158390679995,0.0394012958262486,0.3571924191368696,-0.8998848480324714,1.541062631928665,5.5,0.038000000000000006,3.5,0.019,4.5,0.0285
D,1,7.81,6.824292495549582,0.0201866596306047,-0.0779269502167373,-0.0201204382980526,0.6729624870647337,-0.0922246993905314,0.6238081693964661,3.5,0.020999999999999998,6.5,0.046,4.5,0.0315
D,1,15.63,16.559247833198615,0.0395556832969863,0.0023551720246446,-0.0043172134219612,0.2337872980038845,0.6663537832601945,0.5169861509087641,7.5,0.05,6.5,0.041499999999999995,4.5,0.028000000000000004
D,1,31.25,31.01601104313668,0.03917000187272,0.0063972452908148,0.0059051174327346,0.4808083150777981,-3.849751003166083,3.5290874295003323,11.5,0.063,10.5,0.05,12.5,0.07650000000000001
D,1,62.5,390.7931834545717,-0.0002530198792965,-0.0090294329888977,-11.450233013592817,2.1207048182371184,-0.8597293370412205,0.0010267370079065,21.5,0.051000000000000004,22.5,0.057999999999999996,23.5,0.065
D,1,125.0,31.22809651147205,0.0014830773335495,0.0229098257302896,-0.0050526004132657,0.5646844562814983,0.0227478242936235,0.0816743719832484,15.5,0.0245,10.5,0.0195,29.5,0.0335
D,1,250.0,949.1245068744458,-0.0022026114172989,7.916267354877171e-05,0.0001269249436582,-0.7210607359189926,-534.2836407711461,334.899876010143,2.5,0.015,7.5,0.02,23.5,0.034
R,2,0.0,1.763547741885538,0.033940829919173,-0.2096395668578232,-0.0304562817768476,1.292787154721632,-0.0677203947397374,1.5519836607727442,6.5,0.0445,3.5,0.024,4.5,0.033
R,2,0.24,0.0057738431604653,-0.0854015916595843,-0.0860242290966164,-0.0790037968342187,1.9412963528016431,-3.160502276436499,1.3326000955118014,15.5,0.028999999999999998,18.5,0.033,23.5,0.039
R,2,0.49,0.0010000002081381,-0.060586319088341,0.2212708104174984,0.3778123915351217,0.2142439254205648,0.0518995774701913,0.0083445921328844,23.5,0.041,22.5,0.039,17.5,0.032
R,2,0.98,0.0025846988010979,-0.0061520559368959,0.0398882653757779,0.1663873852088955,32.94092446637241,4.857730668718981,0.0620111960144697,10.5,0.018000000000000002,13.5,0.022,20.5,0.031
R,2,1.95,2.502273763926526,0.0069381584604363,-0.0044441334306367,0.0105188821442916,1.8613406340376049,4.395404316211836,0.8993567499487828,27.5,0.045,7.5,0.024,0.5,0.019
R,2,3.91,31.94707468300447,0.002550213475063,-0.0354194774948678,-0.0002836533243674,0.2568963450565811,-0.0154316777416224,0.4564339412343943,16.5,0.0235,12.5,0.0205,29.5,0.0325
R,2,7.81,20.76516247804581,-6.858236112805217e-05,0.039923047972809,-0.27407572823543,0.667289299263227,0.0170934598407076,-0.0077438808001046,21.5,0.0235,12.5,0.0195,7.5,0.013999999999999999
R,2,15.63,0.2886819709319367,-0.0170441377314185,0.0230018229587132,0.0148176274938232,23.550736663502192,7.099741220312805,16.660924353118915,17.5,0.0275,10.5,0.020999999999999998,27.5,0.033
R,2,31.25,5.793341922196381,-0.0059073108367305,0.0265175323905118,0.0108895432119483,0.826486039194102,0.1003302872732282,0.361963072384302,14.5,0.020999999999999998,9.5,0.013999999999999999,19.5,0.024
R,2,62.5,0.0203371814575356,0.0623376376061947,0.0660989243698081,-0.0628524352413831,20.728590569504995,-7.857869425112337,12.460923276104497,5.5,0.0155,12.5,0.0205,0.5,0.0115
R,2,125.0,39.52523523900037,3.723969169174484e-05,-0.0172437448303003,4.018584918085059e-05,0.4572409720363112,-0.0491579693377472,0.3822526325893055,15.5,0.0195,9.5,0.0155,14.5,0.0185
R,2,250.0,380.00303886982266,0.0009617475621838,-0.0079266565698296,-0.0035835060633188,1.0724878573016974,-0.2820945601330265,0.5377817896863153,16.5,0.026000000000000002,4.5,0.015,2.5,0.013000000000000001
R,1,0.0,0.001000000001201,-0.4707123683541948,-0.4258691683423936,0.4389358617549779,21.43448851279927,57.89138437673658,79.07649025044232,6.5,0.041999999999999996,3.5,0.0215,4.5,0.030000000000000002
R,1,0.24,8.427319792506925,0.0074160951595904,0.0005420172166266,-0.0003727173808561,0.3684887048803844,-1.600242132300281,1.5547718652977458,11.5,0.026000000000000002,15.5,0.032,20.5,0.039
R,1,0.49,0.0457971032195229,0.0199598274383274,-0.3276233301718415,-0.015410034683573,8.385387785448836,-0.0103968800415369,10.786430726846069,20.5,0.066,11.5,0.033,14.5,0.045
R,1,0.98,11.333588205752564,-0.0009091763515308,-0.0087771702963043,-0.0014069711787998,1.523675403356845,-0.4734325413978474,0.3373619122715594,16.5,0.0325,19.5,0.0405,18.5,0.0375
R,1,1.95,0.0010000003289897,-0.6696047916540102,0.7205939037813738,0.73572417375293,0.2868430331242239,0.2100230796216555,0.0642830328374734,24.5,0.0475,26.5,0.0525,17.5,0.0325
R,1,3.91,0.0010007698960085,0.0305040999877922,0.0886332685720061,-0.4610675916704342,-7.186088614706157,2.52235020793246,0.0058782659415451,24.5,0.041,23.5,0.039,29.5,0.049
R,1,7.81,5.2724025832990185,-0.0068930049312927,-0.0309524711216457,0.0057687663332438,1.2220544399555264,-0.0942220930257481,1.4299402698264096,18.5,0.033,12.5,0.023,29.5,0.048
R,1,15.63,0.0031860929000687,0.0139927305586992,-7.0640457687018845,-0.0088129038124358,76.09984898634025,-0.0003108965829148,120.73760790357798,17.5,0.033,13.5,0.026500000000000003,12.5,0.0235
R,1,31.25,0.0010000818705088,-0.021109017606116,-9.725302442630634,-0.4843293687165952,-0.1404590809462569,-0.0003202820594481,0.007631231600802,4.5,0.012,6.5,0.015,9.5,0.02
R,1,62.5,0.0702787047363572,-0.0007556581484363,0.2618189663799042,6.266104292709812,0.747520914269449,0.0092285373759053,0.0002536011845168,14.5,0.031,11.5,0.024,13.5,0.028499999999999998
R,1,125.0,6.026674243706012,0.0109308537150314,-0.0001990886863601,-0.0099498818323943,0.54631990499016,-1.4295212150212109,0.5845390758291048,12.5,0.0155,4.5,0.0115,14.5,0.0165
R,1,250.0,0.0031130221270246,0.670047107329436,0.4642533705493289,0.0496452245788348,0.0028524036409586,-0.0069011423474621,0.0419224324891137,17.5,0.0245,14.5,0.022,1.5,0.013999999999999999
